fullname,raceChar,pleaSuccess,n,prop
Daily Christa M.,Non-white,1,37,0.5522388059701493
Daily Christa M.,White,0,38,0.2602739726027397
Daily Christa M.,White,1,108,0.7397260273972602
Daly Margaret,Non-white,1,1,1
Daly Margaret,White,0,1,1
Daly Margaret A.,Non-white,0,216,0.2650306748466258
Daly Margaret A.,Non-white,1,599,0.7349693251533742
Daly Margaret A.,White,0,82,0.1729957805907173
Daly Margaret A.,White,1,392,0.8270042194092827
Danforth Robert,Non-white,1,1,1
Danforth Robert,White,0,1,0.25
Danforth Robert,White,1,3,0.75
Danforth Robert B.,Non-white,0,1,0.07142857142857142
Danforth Robert B.,Non-white,1,13,0.9285714285714286
Danforth Robert B.,White,0,6,0.1935483870967742
Danforth Robert B.,White,1,25,0.8064516129032258
Danielson Andrew,Non-white,0,23,0.5348837209302325
Danielson Andrew,Non-white,1,20,0.46511627906976744
Danielson Andrew,White,0,3,0.13636363636363635
Danielson Andrew,White,1,19,0.8636363636363636
Danielson Andrew W.,Non-white,0,1,1
Davick-Halfen Kris,Non-white,0,163,0.4190231362467866
Davick-Halfen Kris,Non-white,1,226,0.5809768637532133
Davick-Halfen Kris,White,0,205,0.28995756718529
Davick-Halfen Kris,White,1,502,0.71004243281471
Davies Jean A.,Non-white,0,9,0.1875
Davies Jean A.,Non-white,1,39,0.8125
Davies Jean A.,White,0,30,0.13215859030837004
Davies Jean A.,White,1,197,0.8678414096916299
Davis Michele A.,Non-white,0,19,0.24050632911392406
Davis Michele A.,Non-white,1,60,0.759493670886076
Davis Michele A.,White,0,83,0.21012658227848102
Davis Michele A.,White,1,312,0.789873417721519
Dawson Amy E.,Non-white,0,5,0.3333333333333333
Dawson Amy E.,Non-white,1,10,0.6666666666666666
Dawson Amy E.,White,1,1,1
DeCourcy Michael T.,Non-white,0,80,0.36036036036036034
DeCourcy Michael T.,Non-white,1,142,0.6396396396396397
DeCourcy Michael T.,White,0,27,0.2076923076923077
DeCourcy Michael T.,White,1,103,0.7923076923076923
Dehen John,Non-white,0,19,0.2235294117647059
Dehen John,Non-white,1,66,0.7764705882352941
Dehen John,White,0,38,0.16666666666666666
Dehen John,White,1,190,0.8333333333333334
Dehn James E.,Non-white,0,17,0.25
Dehn James E.,Non-white,1,51,0.75
Dehn James E.,White,0,148,0.17703349282296652
Dehn James E.,White,1,688,0.8229665071770335
DeMay Kristine R.,Non-white,0,27,0.313953488372093
DeMay Kristine R.,Non-white,1,59,0.686046511627907
DeMay Kristine R.,White,0,83,0.19904076738609114
DeMay Kristine R.,White,1,334,0.8009592326139089
Dempsey Terence M.,Non-white,0,15,0.35714285714285715
Dempsey Terence M.,Non-white,1,27,0.6428571428571429
Dempsey Terence M.,White,0,37,0.20108695652173914
Dempsey Terence M.,White,1,147,0.7989130434782609
DeSanto John E.,Non-white,0,49,0.29518072289156627
DeSanto John E.,Non-white,1,117,0.7048192771084337
DeSanto John E.,White,0,42,0.14840989399293286
DeSanto John E.,White,1,241,0.8515901060070671
Diamond Patrick,Non-white,0,136,0.31627906976744186
Diamond Patrick,Non-white,1,294,0.6837209302325581
Diamond Patrick,White,0,47,0.22926829268292684
Diamond Patrick,White,1,158,0.7707317073170732
Dickinson A. James,Non-white,0,76,0.3153526970954357
Dickinson A. James,Non-white,1,165,0.6846473029045643
Dickinson A. James,White,0,26,0.16149068322981366
Dickinson A. James,White,1,135,0.8385093167701864
Dickstein Mel I.,Non-white,0,72,0.3364485981308411
Dickstein Mel I.,Non-white,1,142,0.6635514018691588
Dickstein Mel I.,White,0,30,0.20689655172413793
Dickstein Mel I.,White,1,115,0.7931034482758621
Dietrich Michelle A.,Non-white,0,41,0.21354166666666666
Dietrich Michelle A.,Non-white,1,151,0.7864583333333334
Dietrich Michelle A.,White,0,83,0.21065989847715735
Dietrich Michelle A.,White,1,311,0.7893401015228426
Dixon Donna K.,Non-white,0,33,0.19411764705882353
Dixon Donna K.,Non-white,1,137,0.8058823529411765
Dixon Donna K.,White,0,95,0.13748191027496381
Dixon Donna K.,White,1,596,0.8625180897250362
Docherty Robert A.,Non-white,0,19,0.3114754098360656
Docherty Robert A.,Non-white,1,42,0.6885245901639344
Docherty Robert A.,White,0,71,0.221875
Docherty Robert A.,White,1,249,0.778125
Doll Amy J.,Non-white,0,6,0.3
Doll Amy J.,Non-white,1,14,0.7
Doll Amy J.,White,0,27,0.2125984251968504
Doll Amy J.,White,1,100,0.7874015748031497
Dorn Marybeth,Non-white,0,92,0.3665338645418327
Dorn Marybeth,Non-white,1,159,0.6334661354581673
Dorn Marybeth,White,0,37,0.2138728323699422
Dorn Marybeth,White,1,136,0.7861271676300579
Douglas Bruce R.,Non-white,0,10,0.43478260869565216
Douglas Bruce R.,Non-white,1,13,0.5652173913043478
Douglas Bruce R.,White,0,30,0.17045454545454544
Douglas Bruce R.,White,1,146,0.8295454545454546
Dowdal Bridgid E.,Non-white,0,9,0.36
Dowdal Bridgid E.,Non-white,1,16,0.64
Dowdal Bridgid E.,White,0,29,0.1895424836601307
Dowdal Bridgid E.,White,1,124,0.8104575163398693
Doyscher David,White,0,1,1
Doyscher David E.,Non-white,0,18,0.20689655172413793
Doyscher David E.,Non-white,1,69,0.7931034482758621
Doyscher David E.,White,0,54,0.19014084507042253
Doyscher David E.,White,1,230,0.8098591549295775
Drange Steven E.,Non-white,0,17,0.3090909090909091
Drange Steven E.,Non-white,1,38,0.6909090909090909
Drange Steven E.,White,0,88,0.26666666666666666
Drange Steven E.,White,1,242,0.7333333333333333
Duffy David M.,Non-white,0,138,0.43670886075949367
Duffy David M.,Non-white,1,178,0.5632911392405063
Duffy David M.,White,0,31,0.23134328358208955
Duffy David M.,White,1,103,0.7686567164179104
DuFresne Mary Steenson,Non-white,0,40,0.625
DuFresne Mary Steenson,Non-white,1,24,0.375
DuFresne Mary Steenson,White,0,11,0.34375
DuFresne Mary Steenson,White,1,21,0.65625
Duncan Karen R.,Non-white,0,42,0.3157894736842105
Duncan Karen R.,Non-white,1,91,0.6842105263157895
Duncan Karen R.,White,0,67,0.2126984126984127
Duncan Karen R.,White,1,248,0.7873015873015873
Eagon Diana,Non-white,0,41,0.47674418604651164
Eagon Diana,Non-white,1,45,0.5232558139534884
Eagon Diana,White,0,10,0.2631578947368421
Eagon Diana,White,1,28,0.7368421052631579
Edwards Dannia L.,Non-white,1,4,1
Edwards Dannia L.,White,1,3,1
Eggleston Smith F.,White,1,1,1
Eichenwald Cornwell Jill A.,Non-white,0,20,0.22988505747126436
Eichenwald Cornwell Jill A.,Non-white,1,67,0.7701149425287356
Eichenwald Cornwell Jill A.,White,0,17,0.136
Eichenwald Cornwell Jill A.,White,1,108,0.864
Eide Kevin,Non-white,1,1,1
Eide Kevin W.,Non-white,0,32,0.25196850393700787
Eide Kevin W.,Non-white,1,95,0.7480314960629921
Eide Kevin W.,White,0,67,0.1536697247706422
Eide Kevin W.,White,1,369,0.8463302752293578
Ekstrum B. William,Non-white,0,47,0.27325581395348836
Ekstrum B. William,Non-white,1,125,0.7267441860465116
Ekstrum B. William,White,0,100,0.21739130434782608
Ekstrum B. William,White,1,360,0.782608695652174
Engelking Matthew E.,White,1,3,1
Engisch Nicole A.,Non-white,0,95,0.4025423728813559
Engisch Nicole A.,Non-white,1,141,0.597457627118644
Engisch Nicole A.,White,0,31,0.2818181818181818
Engisch Nicole A.,White,1,79,0.7181818181818181
Evans Joseph A.,Non-white,0,77,0.27402135231316727
Evans Joseph A.,Non-white,1,204,0.7259786476868327
Evans Joseph A.,White,0,81,0.2691029900332226
Evans Joseph A.,White,1,220,0.7308970099667774
Fabian James,Non-white,0,24,0.2727272727272727
Fabian James,Non-white,1,64,0.7272727272727273
Fabian James,White,0,83,0.13764510779436154
Fabian James,White,1,520,0.8623548922056384
Fabian James A.,Non-white,1,1,1
Fahey Michael A.,Non-white,0,29,0.2116788321167883
Fahey Michael A.,Non-white,1,108,0.7883211678832117
Fahey Michael A.,White,0,56,0.2028985507246377
Fahey Michael A.,White,1,220,0.7971014492753623
Faricy Roland J.,White,1,1,1
Farnberg Wayne,White,0,1,1
Farnberg Wayne R.,Non-white,0,4,0.3333333333333333
Farnberg Wayne R.,Non-white,1,8,0.6666666666666666
Farnberg Wayne R.,White,0,9,0.28125
Farnberg Wayne R.,White,1,23,0.71875
Fellman Todd M.,Non-white,0,1,1
Ferrazzano Stephen J.,Non-white,0,10,0.2631578947368421
Ferrazzano Stephen J.,Non-white,1,28,0.7368421052631579
Ferrazzano Stephen J.,White,0,7,0.15555555555555556
Ferrazzano Stephen J.,White,1,38,0.8444444444444444
Fetsch Michael F.,Non-white,0,127,0.2514851485148515
Fetsch Michael F.,Non-white,1,378,0.7485148514851485
Fetsch Michael F.,White,0,68,0.19767441860465115
Fetsch Michael F.,White,1,276,0.8023255813953488
Finley John T.,Non-white,0,60,0.3015075376884422
Finley John T.,Non-white,1,139,0.6984924623115578
Finley John T.,White,0,27,0.19285714285714287
Finley John T.,White,1,113,0.8071428571428572
Fischer Jennifer F.,Non-white,0,23,0.34328358208955223
Fischer Jennifer F.,Non-white,1,44,0.6567164179104478
Fischer Jennifer F.,White,0,31,0.3069306930693069
Fischer Jennifer F.,White,1,70,0.693069306930693
Fisher William J.,Non-white,0,6,0.5
Fisher William J.,Non-white,1,6,0.5
Fisher William J.,White,0,1,0.3333333333333333
Fisher William J.,White,1,2,0.6666666666666666
Fitzpatrick Thomas M.,Non-white,0,45,0.23195876288659795
Fitzpatrick Thomas M.,Non-white,1,149,0.7680412371134021
Fitzpatrick Thomas M.,White,0,69,0.1619718309859155
Fitzpatrick Thomas M.,White,1,357,0.8380281690140845
Flanagan Patrick W.,Non-white,0,6,0.15
Flanagan Patrick W.,Non-white,1,34,0.85
Flanagan Patrick W.,White,0,24,0.2696629213483146
Flanagan Patrick W.,White,1,65,0.7303370786516854
Flinn Charles A.,Non-white,0,1,0.5
Flinn Charles A.,Non-white,1,1,0.5
Flinn Charles A.,White,0,1,0.25
Flinn Charles A.,White,1,3,0.75
"Flinn, Jr. Charles A.",Non-white,1,2,1
"Flinn, Jr. Charles A.",White,0,1,1
Floerke Shaun R.,Non-white,0,92,0.2787878787878788
Floerke Shaun R.,Non-white,1,238,0.7212121212121212
Floerke Shaun R.,White,0,80,0.14388489208633093
Floerke Shaun R.,White,1,476,0.8561151079136691
Florey James B.,Non-white,0,65,0.2995391705069124
Florey James B.,Non-white,1,152,0.7004608294930875
Florey James B.,White,0,187,0.20064377682403434
Florey James B.,White,1,745,0.7993562231759657
Flynn Jeffrey L.,Non-white,0,47,0.18951612903225806
Flynn Jeffrey L.,Non-white,1,201,0.8104838709677419
Flynn Jeffrey L.,White,0,51,0.19844357976653695
Flynn Jeffrey L.,White,1,206,0.8015564202334631
Flynn Paulette K.,Non-white,0,226,0.33580980683506684
Flynn Paulette K.,Non-white,1,447,0.6641901931649331
Flynn Paulette K.,White,0,113,0.2539325842696629
Flynn Paulette K.,White,1,332,0.7460674157303371
Fountain Lind Bethany A.,Non-white,0,1,0.1111111111111111
Fountain Lind Bethany A.,Non-white,1,8,0.8888888888888888
Fountain Lind Bethany A.,White,0,5,0.16666666666666666
Fountain Lind Bethany A.,White,1,25,0.8333333333333334
Fountain Lindberg Bethany A.,Non-white,0,37,0.296
Fountain Lindberg Bethany A.,Non-white,1,88,0.704
Fountain Lindberg Bethany A.,White,0,51,0.19101123595505617
Fountain Lindberg Bethany A.,White,1,216,0.8089887640449438
Fraser Thomas S.,Non-white,0,3,0.375
Fraser Thomas S.,Non-white,1,5,0.625
Fraser Thomas S.,White,0,1,0.2
Fraser Thomas S.,White,1,4,0.8
Fredrickson Tammi A.,Non-white,0,42,0.22702702702702704
Fredrickson Tammi A.,Non-white,1,143,0.772972972972973
Fredrickson Tammi A.,White,0,125,0.22522522522522523
Fredrickson Tammi A.,White,1,430,0.7747747747747747
Freeberg Conrad I.,Non-white,0,15,0.2830188679245283
Freeberg Conrad I.,Non-white,1,38,0.71698113207547165
Freeberg Conrad I.,White,0,102,0.2524752475247525
Freeberg Conrad I.,White,1,302,0.7475247524752475
Freeman Juanita C.,Non-white,0,9,0.375
Freeman Juanita C.,Non-white,1,15,0.625
Freeman Juanita C.,White,0,10,0.2564102564102564
Freeman Juanita C.,White,1,29,0.7435897435897436
Friday Robert C.,Non-white,0,8,0.5333333333333333
Friday Robert C.,Non-white,1,7,0.4666666666666667
Friday Robert C.,White,0,8,0.13793103448275862
Friday Robert C.,White,1,50,0.8620689655172413
Frisch Jennifer L.,Non-white,0,109,0.3096590909090909
Frisch Jennifer L.,Non-white,1,243,0.6903409090909091
Frisch Jennifer L.,White,0,43,0.25903614457831325
Frisch Jennifer L.,White,1,123,0.7409638554216867
Fritz Michael D.,Non-white,0,44,0.2875816993464052
Fritz Michael D.,Non-white,1,109,0.7124183006535948
Fritz Michael D.,White,0,42,0.25
Fritz Michael D.,White,1,126,0.75
Gaitas Theodora K.,Non-white,0,8,0.11594202898550725
Gaitas Theodora K.,Non-white,1,61,0.8840579710144928
Gaitas Theodora K.,White,0,6,0.12
Gaitas Theodora K.,White,1,44,0.88
Galler Gregory G.,Non-white,0,70,0.33175355450236965
Galler Gregory G.,Non-white,1,141,0.6682464454976303
Galler Gregory G.,White,0,139,0.2096530920060332
Galler Gregory G.,White,1,524,0.7903469079939668
Garcia Tamara G.,Non-white,0,381,0.4031746031746032
Garcia Tamara G.,Non-white,1,564,0.5968253968253968
Garcia Tamara G.,White,0,92,0.2548476454293629
Garcia Tamara G.,White,1,269,0.7451523545706371
Gearin Kathleen R.,Non-white,0,192,0.29402756508422667
Gearin Kathleen R.,Non-white,1,461,0.7059724349157733
Gearin Kathleen R.,White,0,106,0.23820224719101124
Gearin Kathleen R.,White,1,339,0.7617977528089888
Giancola Gabriel,Non-white,0,4,0.4444444444444444
Giancola Gabriel,Non-white,1,5,0.5555555555555556
Giancola Gabriel,White,0,6,0.375
Giancola Gabriel,White,1,10,0.625
Giancola Gabriel D.,Non-white,0,5,0.38461538461538464
Giancola Gabriel D.,Non-white,1,8,0.6153846153846154
Giancola Gabriel D.,White,0,12,0.24
Giancola Gabriel D.,White,1,38,0.76
Gibbs James,White,1,1,1
Gibbs James D.,Non-white,0,9,0.47368421052631576
Gibbs James D.,Non-white,1,10,0.5263157894736842
Gibbs James D.,White,0,27,0.25
Gibbs James D.,White,1,81,0.75
Gibbs Sean,White,1,1,1
Gibbs Sean C.,Non-white,0,6,0.12244897959183673
Gibbs Sean C.,Non-white,1,43,0.8775510204081632
Gibbs Sean C.,White,0,22,0.2
Gibbs Sean C.,White,1,88,0.8
"Gilligan, Jr. Thomas A.",Non-white,0,100,0.29411764705882354
"Gilligan, Jr. Thomas A.",Non-white,1,240,0.7058823529411765
"Gilligan, Jr. Thomas A.",White,0,47,0.25
"Gilligan, Jr. Thomas A.",White,1,141,0.75
Ginsberg Harvey C.,Non-white,0,21,0.3181818181818182
Ginsberg Harvey C.,Non-white,1,45,0.6818181818181818
Ginsberg Harvey C.,White,0,13,0.325
Ginsberg Harvey C.,White,1,27,0.675
Glasrud Charles,Non-white,0,22,0.3142857142857143
Glasrud Charles,Non-white,1,48,0.6857142857142857
Glasrud Charles,White,0,49,0.22897196261682243
Glasrud Charles,White,1,165,0.7710280373831776
Godzala Thomas A.,Non-white,0,9,0.3103448275862069
Godzala Thomas A.,Non-white,1,20,0.6896551724137931
Godzala Thomas A.,White,0,45,0.18
Godzala Thomas A.,White,1,205,0.82
Goggins Patrick,Non-white,1,2,1
Goggins Patrick,White,0,3,0.3
Goggins Patrick,White,1,7,0.7
Gomez Isabel,Non-white,0,22,0.44
Gomez Isabel,Non-white,1,28,0.56
Gomez Isabel,White,0,11,0.4583333333333333
Gomez Isabel,White,1,13,0.5416666666666666
Gomez Isabelle,Non-white,1,1,1
Gowan John,Non-white,1,1,1
Gowan John,White,1,2,1
Graham Jeanne J.,Non-white,0,44,0.2972972972972973
Graham Jeanne J.,Non-white,1,104,0.7027027027027027
Graham Jeanne J.,White,0,15,0.18518518518518517
Graham Jeanne J.,White,1,66,0.8148148148148148
Greenberg Myron S.,Non-white,0,15,0.3333333333333333
Greenberg Myron S.,Non-white,1,30,0.6666666666666666
Greenberg Myron S.,White,0,5,0.2
Greenberg Myron S.,White,1,20,0.8
Grewing Sara R.,Non-white,0,80,0.25157232704402516
Grewing Sara R.,Non-white,1,238,0.7484276729559748
Grewing Sara R.,White,0,39,0.23353293413173654
Grewing Sara R.,White,1,128,0.7664670658682635
Gross Bruce,White,1,1,1
Gross Bruce F.,Non-white,0,22,0.1896551724137931
Gross Bruce F.,Non-white,1,94,0.8103448275862069
Gross Bruce F.,White,0,66,0.18487394957983194
Gross Bruce F.,White,1,291,0.8151260504201681
Gross Donald,Non-white,0,1,0.5
Gross Donald,Non-white,1,1,0.5
Gross Donald,White,1,1,1
Grunke Frederick L.,Non-white,0,107,0.4403292181069959
Grunke Frederick L.,Non-white,1,136,0.5596707818930041
Grunke Frederick L.,White,0,157,0.29961832061068705
Grunke Frederick L.,White,1,367,0.700381679389313
Gunderson James,White,1,2,1
Gunderson James B.,White,1,2,1
Gustafson Amber B.,Non-white,0,12,0.2727272727272727
Gustafson Amber B.,Non-white,1,32,0.7272727272727273
Gustafson Amber B.,White,0,13,0.20634920634920634
Gustafson Amber B.,White,1,50,0.7936507936507936
Guthmann John H.,Non-white,0,60,0.33707865168539325
Guthmann John H.,Non-white,1,118,0.6629213483146067
Guthmann John H.,White,0,22,0.25
Guthmann John H.,White,1,66,0.75
Haas Michael J.,Non-white,0,20,0.36363636363636365
Haas Michael J.,Non-white,1,35,0.6363636363636364
Haas Michael J.,White,0,5,0.11627906976744186
Haas Michael J.,White,1,38,0.8837209302325582
Hall Sharon L.,Non-white,0,64,0.28699551569506726
Hall Sharon L.,Non-white,1,159,0.7130044843049327
Hall Sharon L.,White,0,131,0.1829608938547486
Hall Sharon L.,White,1,585,0.8170391061452514
Hallenbach Yerry,Non-white,0,1,1
Hallenbeck Terry C.,Non-white,0,27,0.226890756302521
Hallenbeck Terry C.,Non-white,1,92,0.773109243697479
Hallenbeck Terry C.,White,0,27,0.17880794701986755
Hallenbeck Terry C.,White,1,124,0.8211920529801324
Halsey Stephen,White,0,1,1
Halsey Stephen M.,Non-white,0,31,0.22962962962962963
Halsey Stephen M.,Non-white,1,104,0.7703703703703704
Halsey Stephen M.,White,0,172,0.2182741116751269
Halsey Stephen M.,White,1,616,0.7817258883248731
Halverson Charles D.,Non-white,0,9,0.2571428571428571
Halverson Charles D.,Non-white,1,26,0.7428571428571429
Halverson Charles D.,White,0,4,0.36363636363636365
Halverson Charles D.,White,1,7,0.6363636363636364
Hancock Karla,Non-white,0,21,0.23595505617977527
Hancock Karla,Non-white,1,68,0.7640449438202247
Hancock Karla,White,0,75,0.18337408312958436
Hancock Karla,White,1,334,0.8166259168704156
Hanks Carol M.,Non-white,0,7,0.15555555555555556
Hanks Carol M.,Non-white,1,38,0.8444444444444444
Hanks Carol M.,White,0,23,0.18253968253968253
Hanks Carol M.,White,1,103,0.8174603174603174
Hannon Mary E.,Non-white,0,61,0.2785388127853881
Hannon Mary E.,Non-white,1,158,0.7214611872146118
Hannon Mary E.,White,0,119,0.19604612850082373
Hannon Mary E.,White,1,488,0.8039538714991763
Hansen Mark,White,1,1,1
Hansen Mark F.,Non-white,0,38,0.37254901960784315
Hansen Mark F.,Non-white,1,64,0.6274509803921569
Hansen Mark F.,White,0,120,0.27906976744186046
Hansen Mark F.,White,1,310,0.7209302325581395
Hanson Barbara R.,Non-white,0,31,0.19745222929936307
Hanson Barbara R.,Non-white,1,126,0.802547770700637
Hanson Barbara R.,White,0,141,0.21792890262751158
Hanson Barbara R.,White,1,506,0.7820710973724884
Hanson Diane M.,Non-white,0,35,0.22875816993464052
Hanson Diane M.,Non-white,1,118,0.7712418300653595
Hanson Diane M.,White,0,75,0.22321428571428573
Hanson Diane M.,White,1,261,0.7767857142857143
Hanson Rodney C.,Non-white,0,15,0.375
Hanson Rodney C.,Non-white,1,25,0.625
Hanson Rodney C.,White,0,36,0.27692307692307694
Hanson Rodney C.,White,1,94,0.7230769230769231
Harrelson George I.,Non-white,0,37,0.2890625
Harrelson George I.,Non-white,1,91,0.7109375
Harrelson George I.,White,0,51,0.16612377850162866
Harrelson George I.,White,1,256,0.8338762214983714
Harrington David F.,Non-white,0,158,0.24382716049382716
Harrington David F.,Non-white,1,490,0.7561728395061729
Harrington David F.,White,0,75,0.19946808510638298
Harrington David F.,White,1,301,0.800531914893617
Harris Dale O.,Non-white,0,65,0.2777777777777778
Harris Dale O.,Non-white,1,169,0.7222222222222222
Harris Dale O.,White,0,61,0.18885448916408668
Harris Dale O.,White,1,262,0.8111455108359134
Harris JaPaul J.,Non-white,0,10,0.18518518518518517
Harris JaPaul J.,Non-white,1,44,0.8148148148148148
Harris JaPaul J.,White,0,10,0.2564102564102564
Harris JaPaul J.,White,1,29,0.7435897435897436
Hartigan Bruce,Non-white,0,6,0.46153846153846156
Hartigan Bruce,Non-white,1,7,0.5384615384615384
Hartigan Bruce,White,0,1,1
Hartigan J. Bruce,Non-white,0,2,0.25
Hartigan J. Bruce,Non-white,1,6,0.75
Hartigan J. Bruce,White,1,1,1
Harves Duane R.,Non-white,0,14,0.22950819672131148
Harves Duane R.,Non-white,1,47,0.7704918032786885
Harves Duane R.,White,0,14,0.12173913043478261
Harves Duane R.,White,1,101,0.8782608695652174
Hatcher Charlene,Non-white,0,1,0.5
Hatcher Charlene,Non-white,1,1,0.5
Hatcher Michelle A.,Non-white,1,1,1
Hatcher Michelle A.,White,1,1,1
Hawkinson John,Non-white,0,31,0.2246376811594203
Hawkinson John,Non-white,1,107,0.7753623188405797
Hawkinson John,White,0,124,0.23529411764705882
Hawkinson John,White,1,403,0.7647058823529411
Hawley Sheridan,Non-white,0,44,0.4036697247706422
Hawley Sheridan,Non-white,1,65,0.5963302752293578
Hawley Sheridan,White,0,81,0.22946175637393768
Hawley Sheridan,White,1,272,0.7705382436260623
Hayden Elizabeth A.,Non-white,0,50,0.43478260869565216
Hayden Elizabeth A.,Non-white,1,65,0.5652173913043478
Hayden Elizabeth A.,White,0,63,0.22743682310469315
Hayden Elizabeth A.,White,1,214,0.7725631768953068
Hayes Thomas,Non-white,0,75,0.390625
Hayes Thomas,Non-white,1,117,0.609375
Hayes Thomas,White,0,176,0.20705882352941177
Hayes Thomas,White,1,674,0.7929411764705883
Hayes Thomas D.,White,1,2,1
Hayne Lisa R.,Non-white,0,26,0.37681159420289856
Hayne Lisa R.,Non-white,1,43,0.6231884057971014
Hayne Lisa R.,White,0,18,0.225
Hayne Lisa R.,White,1,62,0.775
Hedlund Deborah,Non-white,0,8,0.6153846153846154
Hedlund Deborah,Non-white,1,5,0.38461538461538464
Hedlund Deborah,White,0,2,0.4
Hedlund Deborah,White,1,3,0.6
Hennesy Sarah E.,Non-white,0,76,0.3584905660377358
Hennesy Sarah E.,Non-white,1,136,0.6415094339622641
Hennesy Sarah E.,White,0,109,0.3293051359516616
Hennesy Sarah E.,White,1,222,0.6706948640483383
Hermerding David F.,Non-white,0,13,0.22033898305084745
Hermerding David F.,Non-white,1,46,0.7796610169491526
Hermerding David F.,White,0,35,0.17412935323383086
Hermerding David F.,White,1,166,0.8258706467661692
Herzing Mark J.,Non-white,0,5,0.2631578947368421
Herzing Mark J.,Non-white,1,14,0.7368421052631579
Herzing Mark J.,White,0,2,0.13333333333333333
Herzing Mark J.,White,1,13,0.8666666666666667
Higgs David C.,Non-white,0,40,0.28368794326241137
Higgs David C.,Non-white,1,101,0.7163120567375887
Higgs David C.,White,0,18,0.23376623376623376
Higgs David C.,White,1,59,0.7662337662337663
Hilgers DeAnne,Non-white,0,17,0.37777777777777777
Hilgers DeAnne,Non-white,1,28,0.6222222222222222
Hilgers DeAnne,White,0,6,0.3333333333333333
Hilgers DeAnne,White,1,12,0.6666666666666666
Hiljus Stoney L.,Non-white,0,11,0.3235294117647059
Hiljus Stoney L.,Non-white,1,23,0.6764705882352942
Hiljus Stoney L.,White,0,93,0.22627737226277372
Hiljus Stoney L.,White,1,318,0.7737226277372263
Hoff Peter A.,Non-white,0,17,0.2833333333333333
Hoff Peter A.,Non-white,1,43,0.7166666666666667
Hoff Peter A.,White,0,59,0.22957198443579765
Hoff Peter A.,White,1,198,0.7704280155642024
Hoffman John C.,Non-white,0,70,0.22950819672131148
Hoffman John C.,Non-white,1,235,0.7704918032786885
Hoffman John C.,White,0,166,0.18928164196123148
Hoffman John C.,White,1,711,0.8107183580387686
Hoffman Paul,Non-white,0,7,0.4117647058823529
Hoffman Paul,Non-white,1,10,0.5882352941176471
Hoffman Paul,White,0,4,0.0975609756097561
Hoffman Paul,White,1,37,0.9024390243902439
"Holahan, Jr. John L.",Non-white,0,55,0.2
"Holahan, Jr. John L.",Non-white,1,220,0.8
"Holahan, Jr. John L.",White,0,35,0.1891891891891892
"Holahan, Jr. John L.",White,1,150,0.8108108108108109
Holden Kevin,White,1,1,1
Holter Terrance C.,Non-white,0,34,0.19428571428571428
Holter Terrance C.,Non-white,1,141,0.8057142857142857
Holter Terrance C.,White,0,29,0.1676300578034682
Holter Terrance C.,White,1,144,0.8323699421965318
Holton Dimick Martha A.,Non-white,0,176,0.4009111617312073
Holton Dimick Martha A.,Non-white,1,263,0.5990888382687927
Holton Dimick Martha A.,White,0,50,0.29411764705882354
Holton Dimick Martha A.,White,1,120,0.7058823529411765
Hoolihan James W.,Non-white,0,81,0.421875
Hoolihan James W.,Non-white,1,111,0.578125
Hoolihan James W.,White,0,168,0.2557077625570776
Hoolihan James W.,White,1,489,0.7442922374429224
Hooten Carol,Non-white,0,16,0.24242424242424243
Hooten Carol,Non-white,1,50,0.7575757575757576
Hooten Carol,White,0,31,0.1987179487179487
Hooten Carol,White,1,125,0.8012820512820513
Hopper Richard,Non-white,0,131,0.20500782472613457
Hopper Richard,Non-white,1,508,0.7949921752738655
Hopper Richard,White,0,67,0.195906432748538
Hopper Richard,White,1,275,0.804093567251462
Howard William R.,Non-white,0,326,0.21879194630872484
Howard William R.,Non-white,1,1164,0.7812080536912752
Howard William R.,White,0,153,0.21338912133891214
Howard William R.,White,1,564,0.7866108786610879
Howe Thomas R.,Non-white,0,6,0.4
Howe Thomas R.,Non-white,1,9,0.6
Howe Thomas R.,White,0,15,0.234375
Howe Thomas R.,White,1,49,0.765625
Hoyos Juan G.,Non-white,0,113,0.4035714285714286
Hoyos Juan G.,Non-white,1,167,0.5964285714285714
Hoyos Juan G.,White,0,35,0.25735294117647056
Hoyos Juan G.,White,1,101,0.7426470588235294
Huseby Annie P. Claesson,Non-white,0,5,0.18518518518518517
Huseby Annie P. Claesson,Non-white,1,22,0.8148148148148148
Huseby Annie P. Claesson,White,0,3,0.2
Huseby Annie P. Claesson,White,1,12,0.8
Huseby-Claesson Annie P.,Non-white,0,7,0.20588235294117646
Huseby-Claesson Annie P.,Non-white,1,27,0.7941176470588235
Huseby-Claesson Annie P.,White,0,7,0.4375
Huseby-Claesson Annie P.,White,1,9,0.5625
Hylden Eric D.,Non-white,0,75,0.2918287937743191
Hylden Eric D.,Non-white,1,182,0.708171206225681
Hylden Eric D.,White,0,83,0.23919308357348704
Hylden Eric D.,White,1,264,0.760806916426513
Ilkka Richard C.,Non-white,0,62,0.3333333333333333
Ilkka Richard C.,Non-white,1,124,0.6666666666666666
Ilkka Richard C.,White,0,101,0.20528455284552846
Ilkka Richard C.,White,1,391,0.7947154471544715
Ireland Mark,Non-white,0,71,0.23202614379084968
Ireland Mark,Non-white,1,235,0.7679738562091504
Ireland Mark,White,0,26,0.15853658536585366
Ireland Mark,White,1,138,0.8414634146341463
