fullname,raceChar,pleaSuccess,n,prop
Askew Stephen J.,Non-white,0,4,0.11428571428571428
Askew Stephen J.,Non-white,1,31,0.8857142857142857
Askew Stephen J.,White,0,27,0.15168539325842698
Askew Stephen J.,White,1,151,0.848314606741573
Asphaug Karen,Non-white,0,85,0.21739130434782608
Asphaug Karen,Non-white,1,306,0.782608695652174
Asphaug Karen,White,0,107,0.1544011544011544
Asphaug Karen,White,1,586,0.8455988455988456
Atkins M. Eugene,Non-white,0,9,0.20454545454545456
Atkins M. Eugene,Non-white,1,35,0.7954545454545454
Atkins M. Eugene,White,0,12,0.16901408450704225
Atkins M. Eugene,White,1,59,0.8309859154929577
Atwal G. Tony,Non-white,0,15,0.3125
Atwal G. Tony,Non-white,1,33,0.6875
Atwal G. Tony,White,0,9,0.45
Atwal G. Tony,White,1,11,0.55
Austad Jana M.,Non-white,0,79,0.255663430420712
Austad Jana M.,Non-white,1,230,0.7443365695792881
Austad Jana M.,White,0,37,0.21022727272727273
Austad Jana M.,White,1,139,0.7897727272727273
Awsumb Robert,Non-white,0,121,0.24948453608247423
Awsumb Robert,Non-white,1,364,0.7505154639175258
Awsumb Robert,White,0,60,0.2158273381294964
Awsumb Robert,White,1,218,0.7841726618705036
Baland Timothy J.,Non-white,0,10,0.38461538461538464
Baland Timothy J.,Non-white,1,16,0.6153846153846154
Baland Timothy J.,White,0,55,0.2956989247311828
Baland Timothy J.,White,1,131,0.7043010752688172
Ballard Paul L,Non-white,1,1,1
Barnette Toddrick S.,Non-white,0,409,0.28304498269896194
Barnette Toddrick S.,Non-white,1,1036,0.71695501730103806
Barnette Toddrick S.,White,0,153,0.19440914866581957
Barnette Toddrick S.,White,1,634,0.8055908513341804
Bartolomei Luis,Non-white,0,133,0.22240802675585283
Bartolomei Luis,Non-white,1,465,0.7775919732441472
Bartolomei Luis,White,0,86,0.21182266009852216
Bartolomei Luis,White,1,320,0.7881773399014779
Bartscher Joy D.,Non-white,0,218,0.29740791268758526
Bartscher Joy D.,Non-white,1,515,0.7025920873124147
Bartscher Joy D.,White,0,79,0.2073490813648294
Bartscher Joy D.,White,1,302,0.7926509186351706
Bartsh Shawn M.,Non-white,0,20,0.37735849056603776
Bartsh Shawn M.,Non-white,1,33,0.6226415094339622
Bartsh Shawn M.,White,0,8,0.36363636363636365
Bartsh Shawn M.,White,1,14,0.6363636363636364
Baskfield Allison Krehbie,Non-white,0,11,0.3793103448275862
Baskfield Allison Krehbie,Non-white,1,18,0.6206896551724138
Baskfield Allison Krehbie,White,0,12,0.24
Baskfield Allison Krehbie,White,1,38,0.76
Bastian Gary W.,Non-white,0,309,0.31921487603305787
Bastian Gary W.,Non-white,1,659,0.6807851239669421
Bastian Gary W.,White,0,120,0.22727272727272727
Bastian Gary W.,White,1,408,0.7727272727272727
Battey David R.,Non-white,0,24,0.34285714285714286
Battey David R.,Non-white,1,46,0.6571428571428571
Battey David R.,White,0,160,0.23952095808383234
Battey David R.,White,1,508,0.7604790419161677
Baxter M. Michael,Non-white,0,59,0.23983739837398374
Baxter M. Michael,Non-white,1,187,0.7601626016260162
Baxter M. Michael,White,0,86,0.19068736141906872
Baxter M. Michael,White,1,365,0.8093126385809313
Baxter Michael M.,White,1,1,1
Bayley Douglas C.,Non-white,0,18,0.21428571428571427
Bayley Douglas C.,Non-white,1,66,0.7857142857142857
Bayley Douglas C.,White,0,22,0.11518324607329843
Bayley Douglas C.,White,1,169,0.8848167539267016
Bearse Edward,White,1,1,1
Bearse Edward W.,Non-white,0,17,0.3617021276595745
Bearse Edward W.,Non-white,1,30,0.6382978723404256
Bearse Edward W.,White,0,36,0.17142857142857143
Bearse Edward W.,White,1,174,0.8285714285714286
Beckman Stephanie L.,Non-white,0,10,0.2702702702702703
Beckman Stephanie L.,Non-white,1,27,0.7297297297297297
Beckman Stephanie L.,White,0,70,0.2978723404255319
